,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
0,0,11110515,14320.0972,490.7765,570.0296,673.8445,1080.064,853.1687,683.9472000000001,843.4882,1061.933,1062.9835,566.1437,808.5958,767.0865,1105.6198,1397.5245,1257.9427,809.0246999999999
1,0,11110530,11766.0751,218.3127,481.55109999999996,284.7654,762.4293,242.1061,608.8102,924.6256999999999,1201.7769,1021.2948,617.2575,385.954,760.3931,1088.9653999999998,1200.6251,1048.348,726.5334
2,0,11110540,3473.3,43.224599999999995,203.0334,67.60340000000001,284.137,339.7221,370.789,201.4169,326.28,243.5387,150.5469,90.21629999999999,185.25130000000001,200.89679999999998,273.4291,255.2145,219.7728
3,0,11110550,12768.0788,344.0259,695.7239,458.5713,1106.7187999999999,678.757,730.6304,690.3099,871.9942,1011.4016,658.9647,635.4245999999999,748.5868,864.7265,1205.3258,1095.7195,818.2747
4,0,11110560,18839.4203,622.1012,902.7584,736.5976,1726.5972,984.08,1134.9791,797.1226,1237.2264,1430.8956,1073.3906,927.836,904.1863,1073.5521999999999,1623.9804,1827.6725,1500.4539
5,0,11110570,6755.9586,179.8751,330.2013,301.2475,556.9113,317.4221,354.9972,346.7543,462.1717,445.31730000000005,375.1945,453.6256,365.00239999999997,439.794,587.5832,545.2055,506.3704
6,0,11110580,7908.5595,301.5187,329.2052,336.2861,544.7741,331.2489,440.1338,534.9616,706.9798,537.5843,363.9424,450.0209,578.2918,635.1858,750.9547,619.0427,440.7761
7,0,11110600,4019.4080999999996,73.9589,205.6445,132.0643,341.8746,229.7672,196.8793,299.9914,328.41859999999997,366.0811,153.229,158.34,193.6161,278.6175,372.048,408.4054,222.76600000000002
8,0,11110615,30296.105,325.9519,965.0932,279.9313,1186.9308,493.0996,3393.0108,4207.7429,3537.501,2921.3387000000002,1629.4607,543.8045,3447.3898,2489.9049,2105.7924,1634.3373000000001,1106.4317
9,0,11110630,7172.4178,40.7887,281.9293,49.5493,463.20680000000004,258.0844,696.4608,631.0215,629.7742000000001,757.6993,430.4998,188.5048,842.3762,523.4842,394.5587,472.066,425.5575
10,0,11110640,17365.178799999998,254.1745,623.187,173.0472,1022.0153,635.7132,1846.1859,1526.4542,1326.8515,1318.0398,599.5435,581.5377,2486.315,1656.2228,1145.4782,1221.7845,786.4425
11,0,11110650,28613.0891,465.466,690.3254,454.1259,1352.8774,1240.2612,4419.8237,1604.1538,1534.4072,1508.2015000000001,832.7227,1474.669,6972.1138,1670.1067,1566.6184,1570.681,1014.9637
12,0,11110670,5823.5565,34.446,277.6585,36.8686,406.4475,79.4454,474.8175,484.7584,504.9025,533.4042999999999,434.0088,50.42,651.5074,405.1617,404.619,516.1783,434.05060000000003
13,0,11110680,8604.2001,140.5171,488.4845,83.7265,716.4874,240.5319,615.6278,496.7773,541.9447,920.3338,650.0875,186.7237,719.5876,551.7095,401.6049,891.4638,764.1353
14,0,11110690,6259.5064,155.79000000000002,323.415,183.189,509.75660000000005,184.0359,335.1015,415.5738,556.3092,440.1851,343.6902,253.65200000000002,395.269,543.9205,498.9823,539.7541,401.80969999999996
15,0,11110700,8104.5639,224.2218,362.33950000000004,149.53379999999999,670.8904,188.4033,586.0010000000001,659.3895,713.3916,631.5946,524.8448,152.12279999999998,759.9993000000001,636.4053,605.7728,669.1360999999999,482.6012
16,0,11110710,11685.8797,213.7616,473.8377,172.2887,676.4792,241.6943,1129.9122,1087.8482,849.961,908.5287,626.588,241.7915,1806.6975,967.6753,755.3303,857.9605,555.4465
17,0,11140520,6883.281800000001,270.7196,191.0136,51.7977,187.1035,105.0735,449.78639999999996,900.004,1102.9691,681.6849,321.9592,126.9472,577.6649,683.9728,594.774,394.6853,237.5583
18,0,11140540,7923.847,179.0627,324.5324,184.1874,475.5977,178.4173,414.4144,719.6473,984.6161999999999,900.3625,439.0725,182.0896,449.1364,617.4319,693.3009999999999,600.1638,434.6603
19,0,11140550,11722.8693,322.8814,347.9386,199.5019,350.6809,259.28400000000005,1041.1315,1333.6514,1623.1771999999999,1142.7406,512.3836,226.3333,1178.1999,1049.2103,977.8190999999999,752.4453,396.10859999999997
20,0,11140570,8167.820000000001,199.796,264.044,51.5642,433.1306,333.9641,1052.5143,751.9819,815.7863,635.4522000000001,387.9605,221.6559,1104.1745,647.2624999999999,468.0068,439.8746,320.7872
21,0,11140580,7951.2768,54.5253,281.05,88.7842,291.977,204.46120000000002,1141.385,679.5824,598.845,546.9415,282.54179999999997,230.3687,1403.1977000000002,733.2804,565.4033,496.31669999999997,322.2092
22,0,11140590,14352.1942,136.9393,393.6878,136.2293,601.9378,295.79449999999997,1700.3452,1677.7567,1484.7215,1127.4335,591.6714000000001,305.1868,1986.2898999999998,1518.4926,1025.728,805.5593,507.8985
23,0,11140605,6807.8873,83.657,324.885,35.6745,161.2853,74.08030000000001,741.1796999999999,916.1118,750.8564,628.2159,429.968,61.8664,752.3882,702.3582,493.9069,364.1241,274.4196
24,0,11140615,14650.906299999999,97.9264,657.7675,92.49940000000001,829.4017,205.5737,1138.0595,1670.0903,1461.0916,1171.2791,752.9042000000001,170.7311,1704.7429000000002,1598.1099000000002,1195.2389,1059.0763,735.7591
25,0,11140625,14140.7544,326.8511,654.6029,340.7626,1074.4567,467.1008,972.9634,1159.4421,1211.7186,1102.077,703.7228,339.9922,1237.662,1327.8569,1082.3878,1044.0215,851.9589
26,0,11140635,14531.642300000001,555.4217,797.3393,569.0554,1288.6662,347.4421,603.3629,1111.9388,1170.3399,1026.0235,752.9304,376.5433,868.2973000000001,1341.3087,1156.1414,1208.4237,909.9649
27,0,11140645,12312.9695,367.01890000000003,568.3194,411.8455,970.1786,411.9396,579.4372999999999,1073.2199,869.9196000000001,899.9712999999999,664.4582,391.818,847.8813,1200.6860000000001,957.2517,978.4833,776.5310999999999
28,0,11140650,6798.4262,156.4129,285.313,193.45440000000002,430.53340000000003,180.7595,477.5293,644.1966,523.7965,508.624,357.61,139.4446,644.649,646.0864,454.2778,510.9236,427.663
29,0,11140665,12979.4342,416.6872,713.7029,387.8522,1059.2809,469.7893,647.4513000000001,960.824,1088.2607,1025.0582,747.9029,516.1862,871.1018,1051.8523,1037.8884,1001.5989,887.1703
